Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,class
3.469493651,2.715318527,-2.065025261,2.3597177,0.366475003,YES
5.766851121,3.344178327,-0.372648519,0.324738625,-3.249151298,YES
5.215202181,4.655643898,0.30863059,1.525679568,-0.668417324,YES
2.967939105,1.509553007,-0.398264613,1.43724501,-0.839218621,YES
3.917891867,2.574695011,-1.53787763,-0.585092106,-2.606859321,YES
1.877779324,2.968878916,-0.591020312,-0.026939551,-0.442723648,YES
4.483483525,2.651870318,0.679699632,1.535963871,-2.150503364,YES
4.524731932,1.425049793,-1.888201503,1.193075584,0.430745765,YES
1.963137105,1.168908784,-0.524868519,-0.208894473,-1.261359752,YES
3.430206542,0.651842367,1.838710492,-0.16961873,-1.958251801,YES
1.575158689,1.729639563,-2.165318968,0.615461451,-0.495282264,YES
2.426362907,3.196473145,-1.777817294,0.119897299,-0.761268691,YES
4.617756511,1.585784461,-1.990018929,0.487297982,0.613734897,YES
2.860864167,1.767214806,-1.515510683,2.088567061,-0.228986877,YES
3.831599133,1.928580443,-2.372615442,-2.424011754,-1.698615438,YES
2.720188887,0.26280454,-0.101830717,0.450760912,-0.326891904,YES
2.96404974,2.401213914,-0.855004822,1.261119223,0.63704798,YES
6.010587063,3.775268882,1.050084622,-0.670615283,-0.993246356,YES
1.264000016,0.553129771,0.403477776,-0.850762502,-1.146867413,YES
0.95595109,1.121047883,-1.719583789,0.029186286,-1.218626966,YES
1.723186521,2.262305721,0.659198277,0.159094529,-0.948972199,YES
3.688493929,2.152213568,-2.378261259,-0.520008841,-1.559566701,YES
2.82664779,1.191760856,1.950421733,1.49045281,0.551672445,YES
3.002602404,2.072921422,-2.404599159,-0.819190771,-2.809556766,YES
0.881523836,4.695798081,-0.554147031,1.579757526,0.314291894,YES
1.574606411,1.032951108,-1.735692975,0.942328561,-0.470148365,YES
1.422558727,1.798915973,-0.276868521,1.209238208,-0.630967011,YES
0.772088455,1.165643528,-0.932011881,-0.436036984,-0.62336795,YES
1.709541503,3.261018824,-1.496884569,-1.125426941,-0.197412162,YES
2.853063778,2.004380908,-1.310091716,0.558330029,-0.281006057,YES
1.143940861,1.633386891,-1.750024041,0.098482109,-0.190698299,YES
4.710909845,1.859873519,-0.722991631,2.859655396,0.592263761,YES
3.232801036,1.299097198,-2.294728099,-0.022523789,-0.897351054,YES
2.789048521,1.423071492,0.036971004,-0.102549758,-0.869130898,YES
2.314054756,0.983767558,-2.552851025,-1.304110971,-1.567884332,YES
1.465959834,4.706218724,0.610543138,2.886505519,-0.823039844,YES
